Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. zaèetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlaèilci;Dnevni NOO;Tip;
AC;A1;0030;MP ŠENTILJ - POÈIVALIŠÈE ŠENTILJ;0;482;674;MT Šentilj AC;QLTC8;15.106;22;10.218;42;1.435;169;110;375;2.735;2.610;PLDP;
AC;A1;0030;POÈIVALIŠÈE ŠENTILJ - ŠENTILJ;482;1.137;869;Šentilj AC;QLTC8;15.021;22;10.163;42;1.423;169;110;372;2.720;2.596;PLDP;
AC;A1;0199;PRIKLJ. ŠENTILJ S;0;841;868;Priklj. Šentilj S;QLTC8;363;1;278;1;28;4;2;7;42;42;PLDP;
AC;A1;0031;ŠENTILJ  -  PESNICA;0;9.761;837;Pesnica AC;QLTC8;19.500;33;13.887;49;2.062;172;89;439;2.769;2.689;PLDP;
AC;A1;0065;PESNICA - DRAGUÈOVA;0;2.570;;;P;19.700;30;13.990;50;2.100;170;110;500;2.750;2.730;PLDP;
AC;A1;0071;DRAGUÈOVA - MB (ZRKOVSKA);0;4.452;889;Maleènik AC;QLTC8;27.092;27;16.922;166;3.164;512;169;982;5.150;5.243;PLDP;
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.452;7.770;;;P;27.300;25;16.945;160;3.200;520;220;930;5.300;5.337;PLDP;
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.590;840;Ptujska AC;QLTC8;33.365;25;22.083;117;3.970;529;265;821;5.555;5.444;PLDP;
AC;A1;0066;ROGOZA - SLIVNICA;2.590;4.857;;;P;31.800;40;20.790;120;3.700;500;250;800;5.600;5.451;PLDP;
AC;A1;0034;SLIVNICA;0;1.757;;;P;37.320;50;26.258;122;4.380;630;300;730;4.850;4.855;PLDP;
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoèe AC;QLTC8;37.322;52;26.262;122;4.376;630;300;728;4.852;4.855;PLDP;
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Priklj. Fram-MB;QLTC8;4.426;27;3.512;13;376;49;34;72;343;369;PLDP;
AC;A1;0134;PRIKLJ. FRAM -  CE;1.000;1.368;849;Priklj. Fram-CE;QLTC8;1.856;10;1.235;12;238;35;18;75;233;272;PLDP;
AC;A1;0036;FRAM - SL.BISTRICA-SEVER;0;6.785;2005;Polskava AC;QLTC8;34.764;48;23.981;123;4.237;615;285;731;4.744;4.761;PLDP;
AC;A1;0036;SL.BISTRICA - SEVER-JUG;6.785;9.733;2006;Sl.Bistrica AC;QLTC8;34.992;50;23.880;115;4.392;628;350;739;4.838;4.864;PLDP;
AC;A1;0135;PRIKLJ. SL. BISTRICA J. - MB;0;400;856;Priklj. Sl.Bistrica-MB;QLTC8;8.631;18;7.224;26;828;120;89;70;256;348;PLDP;
AC;A1;0135;PRIKLJ. SL. BISTRICA J - CE;400;1.638;857;Priklj. Sl.Bistrica-CE;QLTC8;4.212;12;3.426;11;478;69;41;38;137;184;PLDP;
AC;A1;0037;SL.BISTRICA - SL.KONJICE;0;9.119;838;Preloge AC;QLTC8;30.594;42;20.107;99;4.043;577;302;707;4.717;4.698;PLDP;
AC;A1;0136;PRIKLJ. SL. KONJICE - MB;0;900;844;CP Sl.Konjice-MB;PRAZNO;5.000;10;4.160;50;400;140;60;60;120;243;PLDP;
AC;A1;0136;PRIKLJ. SL. KONJICE - CE;900;1.790;845;CP Sl.Konjice-CE;PRAZNO;3.629;35;3.183;48;101;106;53;52;51;167;PLDP;
AC;A1;0038;SL.KONJICE - DRAMLJE;0;10.886;896;Pletovarje AC;QLTC8;29.223;67;19.130;97;3.744;543;295;699;4.648;4.621;PLDP;
AC;A1;0137;PRIKLJ. DRAMLJE - MB;0;600;846;Dramlje-MB;QLTC8;1.976;6;1.485;2;288;48;29;21;97;121;PLDP;
AC;A1;0137;PRIKLJ. DRAMLJE - CE;600;1.115;847;Dramlje-CE;QLTC8;4.599;11;3.752;3;494;76;63;38;162;208;PLDP;
AC;A1;0039;DRAMLJE - LJUBEÈNA;0;6.436;1029;Zima AC;QLTC8;31.798;23;21.287;98;4.019;620;324;724;4.703;4.720;PLDP;
AC;A1;0039;LJUBEÈNA - CELJE;6.436;8.437;1030;Celje Center-V AC;QLTC8;32.206;24;21.562;95;4.110;629;349;730;4.707;4.738;PLDP;
AC;A1;0040;CELJE - CELJE ZAHOD;0;5.261;648;Lopata AC;QLTC8;34.082;35;22.822;89;4.563;713;396;877;4.587;4.798;PLDP;
AC;A1;0040;CELJE ZAHOD - ARJA VAS;5.261;7.510;1031;Arja vas AC;QLTC8;39.711;40;27.934;102;4.773;766;442;784;4.870;4.991;PLDP;
AC;A1;0041;ARJA VAS - ŠEMPETER;0;7.511;1006;Gotovlje AC;QLTC8;36.742;36;25.417;110;4.484;665;398;752;4.880;4.933;PLDP;
AC;A1;0041;ŠEMPETER - ŠENTRUPERT;7.511;9.652;;;P;34.500;40;23.310;105;4.400;655;370;770;4.850;4.907;PLDP;
AC;A1;0042;ŠENTRUPERT - VRANSKO;0;7.899;839;Vransko AC;QLTC8;33.344;55;22.246;106;4.357;650;311;799;4.820;4.884;PLDP;
AC;A1;0043;VRANSKO - TROJANE;0;9.940;836;Jasovnik AC;QLTC8;25.265;27;16.855;87;3.225;467;218;596;3.790;3.794;PLDP;
AC;A1;0067;TROJANE  -  BLAGOVICA;0;8.683;1007;Podmilj AC;QLTC8;34.519;51;23.993;118;4.106;570;312;805;4.564;4.669;PLDP;
AC;A1;0142;PRIKLJ.BLAGOVICA - CE;0;200;842;CP Blagovica-CE;PRAZNO;119;10;35;4;15;10;10;15;20;37;PLDP;
AC;A1;0142;PRIKLJ. BLAGOVICA - LJ;200;529;843;CP Blagovica-LJ;PRAZNO;1.100;59;737;6;59;20;13;50;156;180;PLDP;
AC;A1;0044;BLAGOVICA - LUKOVICA;0;8.821;834;Kompolje AC;QLTC8;36.800;80;25.480;100;4.700;600;300;840;4.700;4.799;PLDP;
AC;A1;0044;LUKOVICA - KRTINA;8.821;12.465;;;P;37.939;108;26.118;113;4.976;579;309;766;4.970;4.963;PLDP;
AC;A1;0169;PRIKLJ. LUKOVICA ;0;2.279;831;CP Lukovica-LJ;PRAZNO;2.000;10;1.790;5;110;15;15;20;35;58;PLDP;
AC;A1;0143;PRIKLJ. KRTINA;0;340;851;Priklj. Krtina-CE;QLTC8;1.434;3;1.055;12;144;57;13;28;122;150;PLDP;
AC;A1;0143;PRIKLJ. KRTINA;340;761;835;Priklj. Krtina-LJ;QLTC8;4.495;25;3.903;1;340;38;34;12;142;148;PLDP;
AC;A1;0045;KRTINA - DOMŽALE;0;3.485;1045;Domžale AC;QLTC8;40.500;100;28.498;100;5.172;560;330;750;4.990;4.959;PLDP;
AC;A1;0046;DOMŽALE - ŠENTJAKOB;0;5.402;830;Pšata AC;QLTC8;47.722;107;35.854;102;5.246;565;332;721;4.795;4.784;PLDP;
AC;A1;0047;ŠENTJAKOB - SNEBERJE;0;1.159;;;P;58.500;80;46.180;110;5.500;660;380;770;4.820;4.894;PLDP;
AC;A1;0047;SNEBERJE - LJ (ZADOBRAVA);1.159;1.545;2401;Sneberje AC;QLTC8;60.628;58;47.263;127;6.325;766;458;813;4.818;5.000;PLDP;
AC;A1;0047;LJ (ZADOBRAVA) - R LJ ZADOBROVA;1.545;2.866;1005;Zadobrova AC;QLTC8;29.635;28;22.921;36;3.333;375;230;369;2.343;2.396;PLDP;
AC;A1;0146;RAZCEP LJ ZADOBROVA;0;1.730;1001;Razcep Zadobrova-MB;QLTC8;30.028;31;23.577;88;2.898;378;220;431;2.405;2.528;PLDP;
AC;A1;0146;RAZCEP LJ ZADOBROVA;1.730;3.161;1003;Razcep Zadobrova-LJvzh;QLTC8;30.241;36;26.552;18;2.537;335;279;112;372;605;PLDP;
AC;A1;0048;R LJ ZADOBROVA - IND. CONA MOSTE;0;536;;;P;61.700;70;51.420;50;5.500;750;490;520;2.900;3.182;PLDP;
AC;A1;0048;LJ (IND. CONA MOSTE - ZALOŠKA);536;1.330;;;P;61.000;80;50.955;45;5.600;700;500;470;2.650;2.927;PLDP;
AC;A1;0049;LJ (ZALOŠKA - LITIJSKA);0;1.277;;;P;54.200;85;44.405;50;5.500;650;460;450;2.600;2.845;PLDP;
AC;A1;0050;LJ (LITIJSKA - MALENCE);0;3.460;180;V Obvoznica;QLTC8;51.514;84;41.763;45;5.451;628;448;499;2.596;2.867;PLDP;
