Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. zaèetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip   štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlaèilci;Dnevni NOO;Tip
AC;A1;0030;MP ŠENTILJ - POÈIVALIŠÈE ŠENTILJ;0;482;674;MT Šentilj AC;QLTC8;23.516;50;17.260;81;2.492;241;133;378;2.881;2789;PLDP
AC;A1;0030;POÈIVALIŠÈE ŠENTILJ - ŠENTILJ;482;1.137;869;Šentilj AC;QLTC8;23.255;49;17.043;80;2.463;240;132;376;2.872;2779;PLDP
AC;A1;0199;PRIKLJ.ŠENTILJ S;0;842;868;Priklj. Šentilj S;QLTC8;425;1;370;0;38;2;1;2;11;11;PLDP
AC;A1;0031;ŠENTILJ  -  PESNICA;0;9.761;837;Pesnica AC;QLTC8;29.622;69;22.707;132;3.089;211;95;466;2.853;2852;PLDP
AC;A1;0065;PESNICA - DRAGUÈOVA;0;2.570;;;P;29.800;80;22.615;140;3.200;215;110;580;2.860;2961;PLDP
AC;A1;0071;DRAGUÈOVA - MB (ZRKOVSKA);0;4.452;889;Maleènik AC;QLTC8;39.122;98;26.344;243;4.624;570;204;1.227;5.812;6055;PLDP
AC;A1;0071;MB (ZRKOVSKA)  - MB (PTUJSKA);4.452;7.744;;;P;39.500;100;26.390;240;4.700;610;260;1.150;6.050;6214;PLDP
AC;A1;0066;MB (PTUJSKA) - ROGOZA;0;2.590;840;Ptujska AC;QLTC8;47.100;115;32.866;230;5.628;651;303;934;6.373;6322;PLDP
AC;A1;0066;ROGOZA - SLIVNICA;2.590;4.889;;;P;45.200;110;30.930;240;5.600;630;280;910;6.500;6397;PLDP
AC;A1;0034;SLIVNICA;0;1.757;;;P;49.980;110;36.055;245;5.860;700;350;840;5.820;5847;PLDP
AC;A1;0035;SLIVNICA - FRAM;0;1.910;802;Hoèe AC;QLTC8;49.984;112;36.058;245;5.861;701;349;839;5.819;5845;PLDP
AC;A1;0134;PRIKLJ. FRAM  -  MB;0;1.000;848;Priklj. Fram-MB;QLTC8;6.276;31;4.913;23;570;63;50;88;538;555;PLDP
AC;A1;0134;PRIKLJ. FRAM -  CE;1.000;1.193;849;Priklj. Fram-CE;QLTC8;2.630;6;1.777;22;376;48;24;79;298;341;PLDP
AC;A1;0036;FRAM - SL.BISTRICA-SEVER;0;6.785;2005;Polskava AC;QLTC8;46.338;87;32.922;244;5.667;686;323;830;5.579;5631;PLDP
AC;A1;0036;SL.BISTRICA - SEVER-JUG;6.785;9.733;2006;Sl.Bistrica AC;QLTC8;46.079;111;32.402;227;5.736;717;389;851;5.646;5722;PLDP
