Števno mesto;Številka ceste;Številka odseka;Števna toèka;Ime števnega mesta;Tip štetja;Šteje se ena smer;Leto roè. (avt.) štetja;Koordinata E;Koordinata N
2;208;1059;6.470;Kubed;QLTC10;; ;411738;42376
3;101;0231;2.280;Kovor;QLTC8;; ;444779;133187
4;907;1101;664;Fužine;MWTC1;;2019_14;427092;138115
5;905;1096;9.060;Mrzli studenec 1;MWTC1;;2020_14;422076;134905
6;106;0215;3.040;Škofljica;QLTC8;;;466060;95006
7;905;1097;35;Mrzli studenec 2;MWTC1;;2020_14;421974;134847
8;906;1100;205;Mrzli studenec 3;MWTC1;;2020_14;421817;134940
9;633;1098;2.677;Srednja vas v Bohinju;QLTC10;; ;417122;129109
10;111;0239;2.920;Seèa;QLTC8;;;391564;40509
11;H5;0237;240;Bertoki HC;QLTC8;Smer 1; ;403251;45880
12;753;1544;1.000;Orehovje;MWTC1;;2022_14;399768;116232
13;111;0373;2.910;Izolska obvoznica;QLTC8;; ;394116;43770
14;11;1062;13.942;MT Dragonja;QLTC44;; ;395018;36277
15;430;0033;1.950;Maribor ;QLTC8;; ;550691;156245
16;430;0032;4.130;Meljska ;QLTC8;; ;550749;158527
17;430;0881;560;Hoèe;QLTC8;; ;550048;150783
18;1;0326;75;MB Koroški most;QLTC8;; ;548112;158270
19;1;0246;3.180;MB Ptujska;QLTC10;; ;552042;153958
20;454;1400;710;Miklavž sever;QLTC8;; ;552700;153115
21;622;6848;12.790;Neverke;MWTC1;;2022_14;432986;59096
22;409;0307;5.511;Senožeèe;QLTC10;;2019_14;425856;65361
23;614;1049;5.954;Kobjeglava;MWTC1;;2021_14;407757;75637
24;204;1014;4.000;Kopriva;MWTC1;;2022_14;409414;72168
25;445;0349;6.465;Senadolice;QLTC10;; ;418940;66312
26;106;0216;154;Škofljica 2;QLTC10;; ;467202;93857
27;433;1289;1.955;Trate;MWTC1;;2019_14;560014;174321
28;433;1288;11.036;Zgornja Šèavnica 1;MWTC1;;2019_14;561950;169262
29;433;1288;11.269;Zgornja Šèavnica 2;MWTC1;;2019_14;561816;169452
30;730;4104;2.601;Sveta Ana;MWTC1;;2019_14;564930;166533
31;696;7912;2.160;Velenje;QLTC10;; ;508081;136921
32;696;7919;2.806;Plešivec;MWTC1;;2022_14;508215;141163
33;696;6904;3.446;Podgorje pri Slov. Gradcu;MWTC1;;2021_14;506508;147984
34;225;1246;3.000;Letuš 2;QLTC10;; ;501394;130923
35;426;7949;495;Paška vas;QLTC10;; ;501000;133628
36;695;7951;3.409;Podvin pri Polzeli ;MWTC1;;2019_14;503838;130147
37;225;1246;10.870;Orla vas;QLTC10;; ;505442;124567
38;430;0274;7.550;Bukovec;QLTC8;; ;548283;143706
39;903;1021;5.280;Livek;MWTC1;;2022_14;391758;119035
40;694;1268;13.290;Breg pri Polzeli;QLTC10;; ;506807;126001
41;414;1349;28.245;Loèica;QLTC10;; ;495577;120897
42;715;5645;2.690;Markišavci;QLTC10;;;589256;172543
43;725;5672;2.271;Sebeborci;MWTC1;;2021_14;591690;174848
44;442;1318;1.520;Martjanci;QLTC10;; ;591746;172686
45;439;1300;830;Dobrovnik;QLTC10;;2019_14;602292;168778
